"","variable","value"
"1","k = 1",0.906436781609195
"2","k = 1",0.959770114942529
"3","k = 1",0.919540229885057
"4","k = 1",0.911724137931034
"5","k = 1",0.899770114942529
"6","k = 1",0.906436781609195
"7","k = 1",0.932873563218391
"8","k = 1",0.946206896551724
"9","k = 1",0.946206896551724
"10","k = 1",0.919080459770115
"11","k = 1",0.919770114942529
"12","k = 1",0.93264367816092
"13","k = 1",0.886206896551724
"14","k = 1",0.926666666666667
"15","k = 1",0.892183908045977
"16","k = 1",0.926436781609195
"17","k = 1",0.905747126436782
"18","k = 1",0.939770114942529
"19","k = 1",0.946436781609195
"20","k = 1",0.939540229885057
"21","k = 1",0.89264367816092
"22","k = 1",0.939540229885057
"23","k = 1",0.906666666666667
"24","k = 1",0.919540229885057
"25","k = 1",0.939080459770115
"26","k = 1",0.919310344827586
"27","k = 1",0.932873563218391
"28","k = 1",0.933103448275862
"29","k = 1",0.93264367816092
"30","k = 1",0.91264367816092
"31","k = 1",0.945977011494253
"32","k = 1",0.932873563218391
"33","k = 1",0.959310344827586
"34","k = 1",0.953103448275862
"35","k = 1",0.913103448275862
"36","k = 1",0.899080459770115
"37","k = 1",0.933103448275862
"38","k = 1",0.926436781609195
"39","k = 1",0.919310344827586
"40","k = 1",0.912413793103448
"41","k = 1",0.891034482758621
"42","k = 1",0.933333333333333
"43","k = 1",0.926206896551724
"44","k = 1",0.919770114942529
"45","k = 1",0.918850574712644
"46","k = 1",0.919770114942529
"47","k = 1",0.932873563218391
"48","k = 1",0.946436781609195
"49","k = 1",0.959540229885057
"50","k = 1",0.92551724137931
"51","k = 2",0.853103448275862
"52","k = 2",0.899310344827586
"53","k = 2",0.87264367816092
"54","k = 2",0.898620689655172
"55","k = 2",0.879770114942529
"56","k = 2",0.87264367816092
"57","k = 2",0.885977011494253
"58","k = 2",0.905977011494253
"59","k = 2",0.865747126436782
"60","k = 2",0.872413793103448
"61","k = 2",0.899770114942529
"62","k = 2",0.879310344827586
"63","k = 2",0.866206896551724
"64","k = 2",0.913333333333333
"65","k = 2",0.905977011494253
"66","k = 2",0.87264367816092
"67","k = 2",0.89264367816092
"68","k = 2",0.859310344827586
"69","k = 2",0.906206896551724
"70","k = 2",0.89264367816092
"71","k = 2",0.899080459770115
"72","k = 2",0.899310344827586
"73","k = 2",0.879080459770115
"74","k = 2",0.892873563218391
"75","k = 2",0.905747126436782
