"","ID","Gene","GB_ACC","GeneDes"
"1553551_s_at","1553551_s_at","ND2","NM_173709","0008137 // NADH dehydrogenase (ubiquinone) activity // non-traceable author statement /// 0008137 // NADH dehydrogenase (ubiquinone) activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation"
"1553569_at","1553569_at","COX2","NM_173705","0004129 // cytochrome-c oxidase activity // inferred from electronic annotation /// 0004129 // cytochrome-c oxidase activity // inferred from mutant phenotype /// 0004129 // cytochrome-c oxidase activity // non-traceable author statement /// 0005507 // copper ion binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
"1553570_x_at","1553570_x_at","COX2","NM_173705","0004129 // cytochrome-c oxidase activity // inferred from electronic annotation /// 0004129 // cytochrome-c oxidase activity // inferred from mutant phenotype /// 0004129 // cytochrome-c oxidase activity // non-traceable author statement /// 0005507 // copper ion binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
"1553588_at","1553588_at","ND3 /// SH3KBP1","NM_173710","0005515 // protein binding // inferred from physical interaction /// 0008137 // NADH dehydrogenase (ubiquinone) activity // non-traceable author statement /// 0008137 // NADH dehydrogenase (ubiquinone) activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0017124 // SH3 domain binding // inferred from electronic annotation"
"1553857_at","1553857_at","IGSF22","NM_173588","0005515 // protein binding // inferred from electronic annotation"
"1555653_at","1555653_at","","BC012090",""
"1558678_s_at","1558678_s_at","MALAT1","BE708432",""
"200004_at","200004_at","EIF4G2","NM_001418","0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0003743 // translation initiation factor activity // inferred from direct assay /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008135 // translation factor activity, nucleic acid binding // inferred from direct assay /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200007_at","200007_at","SRP14","NM_003134","0003723 // RNA binding // traceable author statement /// 0005515 // protein binding // inferred from physical interaction /// 0008312 // 7S RNA binding // inferred from electronic annotation /// 0030942 // endoplasmic reticulum signal peptide binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200012_x_at","200012_x_at","RPL21 /// RPL21P28 /// SNORA27 /// SNORD102","NM_000982","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200013_at","200013_at","RPL24","NM_000986","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200014_s_at","200014_s_at","HNRNPC","NM_004500","0000166 // nucleotide binding // inferred from electronic annotation /// 0000978 // RNA polymerase II core promoter proximal region sequence-specific DNA binding // inferred from direct assay /// 0000980 // RNA polymerase II distal enhancer sequence-specific DNA binding // inferred from direct assay /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // non-traceable author statement /// 0003729 // mRNA binding // inferred from electronic annotation /// 0003730 // mRNA 3'-UTR binding // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0008266 // poly(U) RNA binding // inferred from direct assay /// 0031492 // nucleosomal DNA binding // inferred from direct assay /// 0042802 // identical protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200016_x_at","200016_x_at","HNRNPA1 /// HNRNPA1P10","NM_002136","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003697 // single-stranded DNA binding // inferred from direct assay /// 0003723 // RNA binding // traceable author statement /// 0003727 // single-stranded RNA binding // inferred by curator /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200017_at","200017_at","RPS27A","NM_002954","0003735 // structural constituent of ribosome // inferred from direct assay /// 0005515 // protein binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"200018_at","200018_at","LOC100508408 /// RPS13 /// SNORD14B","NM_001017","0003729 // mRNA binding // inferred from direct assay /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200021_at","200021_at","CFL1","NM_005507","0003779 // actin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction"
"200025_s_at","200025_s_at","RPL27","NM_000988","0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // sequence-specific DNA binding transcription factor activity // non-traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0003735 // structural constituent of ribosome // traceable author statement /// 0044822 // poly(A) RNA binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation"
"200026_at","200026_at","RPL34","NM_000995","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement"
"200027_at","200027_at","NARS","NM_004539","0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0004812 // aminoacyl-tRNA ligase activity // inferred from electronic annotation /// 0004815 // aspartate-tRNA ligase activity // inferred from electronic annotation /// 0004816 // asparagine-tRNA ligase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation"
"200031_s_at","200031_s_at","RPS11 /// SNORD35B","NM_001015","0003723 // RNA binding // inferred from electronic annotation /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0019843 // rRNA binding // inferred from electronic annotation /// 0044822 // poly(A) RNA binding // inferred from direct assay"
"200032_s_at","200032_s_at","RPL9","NM_000661","0003723 // RNA binding // traceable author statement /// 0003735 // structural constituent of ribosome // non-traceable author statement /// 0016740 // transferase activity // inferred from electronic annotation /// 0016746 // transferase activity, transferring acyl groups // inferred from electronic annotation /// 0019843 // rRNA binding // inferred from electronic annotation /// 0047961 // glycine N-acyltransferase activity // inferred from electronic annotation"
